iter	Passed	Remaining
0	5	5267
1	9	4851
2	13	4626
3	17	4476
4	21	4347
5	25	4285
6	29	4233
7	33	4203
8	37	4169
9	42	4165
10	46	4147
11	50	4126
12	54	4111
13	58	4094
14	62	4087
15	66	4074
16	70	4062
17	74	4053
18	78	4040
19	82	4027
20	86	4018
21	90	4008
22	94	3997
23	98	3992
24	102	3985
25	106	3977
26	110	3966
27	114	3960
28	118	3957
29	122	3957
30	126	3952
31	130	3949
32	134	3951
33	139	3954
34	143	3951
35	147	3948
36	151	3950
37	155	3947
38	160	3946
39	164	3943
40	168	3942
41	172	3935
42	176	3930
43	180	3925
44	184	3920
45	188	3914
46	192	3908
47	196	3904
48	200	3899
49	204	3891
50	208	3885
51	212	3879
52	216	3875
53	221	3872
54	225	3866
55	232	3919
56	237	3935
57	242	3930
58	246	3930
59	250	3922
60	254	3917
61	258	3909
62	262	3902
63	266	3897
64	270	3891
65	274	3888
66	278	3882
67	282	3876
68	287	3872
69	291	3866
70	295	3860
71	299	3854
72	303	3850
73	307	3846
74	311	3840
75	315	3834
76	319	3829
77	323	3823
78	327	3817
79	331	3813
80	335	3808
81	339	3804
82	343	3799
83	347	3793
84	351	3788
85	356	3783
86	360	3779
87	364	3775
88	368	3772
89	372	3767
90	376	3762
91	380	3757
92	384	3752
93	388	3747
94	392	3741
95	396	3738
96	401	3735
97	405	3730
98	409	3725
99	413	3721
100	417	3716
101	421	3711
102	425	3707
103	429	3702
104	433	3698
105	437	3691
106	441	3687
107	445	3682
108	449	3677
109	453	3672
110	458	3669
111	462	3664
112	466	3659
113	470	3655
114	474	3650
115	478	3645
116	482	3641
117	486	3637
118	490	3631
119	494	3627
120	498	3623
121	502	3618
122	506	3613
123	510	3609
124	514	3604
125	518	3599
126	523	3595
127	526	3590
128	530	3584
129	535	3585
130	539	3581
131	544	3577
132	548	3573
133	552	3568
134	556	3563
135	560	3558
136	564	3553
137	568	3548
138	572	3544
139	576	3538
140	580	3534
141	584	3529
142	588	3524
143	592	3521
144	596	3516
145	600	3511
146	604	3506
147	608	3504
148	612	3498
149	616	3493
150	620	3488
151	624	3483
152	628	3479
153	632	3475
154	636	3470
155	640	3465
156	644	3461
157	648	3456
158	652	3452
159	656	3448
160	660	3444
161	664	3438
162	668	3434
163	672	3430
164	676	3425
165	680	3421
166	685	3417
167	688	3412
168	692	3407
169	696	3402
170	700	3398
171	705	3394
172	709	3393
173	717	3404
174	721	3399
175	725	3395
176	729	3390
177	733	3386
178	737	3381
179	741	3376
180	744	3370
181	748	3365
182	752	3361
183	756	3356
184	760	3351
185	764	3346
186	768	3342
187	772	3337
188	776	3333
189	781	3330
190	785	3326
191	789	3322
192	793	3317
193	797	3313
194	801	3310
195	805	3305
196	809	3301
197	814	3297
198	818	3292
199	821	3287
200	825	3283
201	830	3279
202	834	3276
203	838	3272
204	842	3267
205	846	3262
206	850	3257
207	854	3252
208	858	3249
209	862	3244
210	866	3239
211	870	3235
212	874	3232
213	878	3227
214	882	3222
215	886	3217
216	890	3213
217	894	3209
218	898	3205
219	902	3200
220	906	3195
221	910	3191
222	914	3187
223	918	3182
224	922	3177
225	926	3172
226	930	3168
227	934	3163
228	938	3159
229	942	3155
230	946	3150
231	950	3145
232	953	3139
233	956	3132
234	961	3128
235	965	3124
236	969	3120
237	973	3116
238	977	3113
239	981	3109
240	986	3105
241	990	3101
242	994	3097
243	998	3093
244	1002	3089
245	1006	3084
246	1010	3080
247	1014	3076
248	1018	3072
249	1022	3068
250	1026	3064
251	1031	3060
252	1035	3056
253	1039	3051
254	1043	3047
255	1047	3043
256	1051	3039
257	1055	3035
258	1059	3031
259	1063	3026
260	1067	3022
261	1071	3018
262	1076	3015
263	1080	3011
264	1084	3006
265	1088	3002
266	1092	2998
267	1096	2993
268	1100	2989
269	1104	2985
270	1108	2981
271	1112	2977
272	1116	2973
273	1120	2969
274	1124	2964
275	1128	2961
276	1132	2957
277	1136	2951
278	1140	2947
279	1144	2943
280	1148	2939
281	1152	2934
282	1156	2930
283	1160	2926
284	1165	2922
285	1169	2918
286	1173	2914
287	1177	2910
288	1180	2904
289	1184	2900
290	1188	2896
291	1192	2892
292	1196	2886
293	1200	2882
294	1204	2878
295	1208	2873
296	1212	2869
297	1216	2864
298	1219	2859
299	1228	2867
300	1233	2864
301	1237	2860
302	1242	2857
303	1246	2853
304	1250	2850
305	1255	2846
306	1259	2843
307	1263	2839
308	1267	2833
309	1271	2829
310	1275	2825
311	1279	2822
312	1283	2818
313	1287	2812
314	1291	2808
315	1296	2805
316	1299	2799
317	1303	2795
318	1307	2791
319	1311	2787
320	1315	2782
321	1318	2777
322	1322	2772
323	1326	2768
324	1330	2762
325	1334	2758
326	1338	2754
327	1342	2750
328	1345	2744
329	1349	2740
330	1353	2736
331	1357	2732
332	1361	2726
333	1364	2720
334	1368	2716
335	1372	2712
336	1376	2707
337	1380	2703
338	1383	2697
339	1386	2692
340	1391	2688
341	1394	2682
342	1397	2676
343	1400	2671
344	1404	2667
345	1408	2661
346	1411	2656
347	1415	2651
348	1418	2645
349	1421	2640
350	1425	2636
351	1429	2631
352	1433	2627
353	1437	2623
354	1441	2619
355	1445	2614
356	1449	2610
357	1453	2606
358	1456	2600
359	1460	2595
360	1463	2590
361	1467	2585
362	1471	2582
363	1475	2577
364	1478	2572
365	1482	2567
366	1485	2562
367	1490	2559
368	1494	2555
369	1498	2551
370	1501	2545
371	1504	2540
372	1509	2536
373	1513	2533
374	1516	2527
375	1520	2523
376	1524	2518
377	1527	2513
378	1530	2508
379	1534	2502
380	1537	2498
381	1541	2493
382	1545	2489
383	1548	2484
384	1552	2479
385	1555	2474
386	1558	2469
387	1562	2464
388	1565	2459
389	1569	2454
390	1572	2449
391	1575	2443
392	1579	2438
393	1582	2433
394	1585	2428
395	1589	2423
396	1594	2422
397	1599	2418
398	1604	2416
399	1608	2413
400	1612	2408
401	1615	2403
402	1619	2398
403	1622	2393
404	1625	2388
405	1629	2383
406	1632	2378
407	1635	2373
408	1639	2368
409	1642	2363
410	1645	2358
411	1649	2353
412	1652	2348
413	1655	2343
414	1658	2338
415	1662	2333
416	1665	2328
417	1669	2324
418	1672	2319
419	1676	2314
420	1679	2309
421	1682	2304
422	1686	2300
423	1689	2295
424	1693	2290
425	1696	2285
426	1700	2281
427	1706	2280
428	1709	2275
429	1713	2271
430	1716	2266
431	1719	2261
432	1723	2256
433	1726	2251
434	1730	2247
435	1733	2242
436	1736	2237
437	1740	2232
438	1743	2228
439	1747	2223
440	1750	2218
441	1753	2214
442	1757	2209
443	1760	2204
444	1763	2199
445	1767	2195
446	1770	2190
447	1774	2185
448	1777	2181
449	1780	2176
450	1784	2171
451	1787	2167
452	1790	2162
453	1794	2157
454	1797	2153
455	1800	2148
456	1804	2144
457	1808	2139
458	1811	2135
459	1815	2130
460	1818	2126
461	1821	2121
462	1825	2116
463	1828	2112
464	1832	2108
465	1835	2103
466	1838	2098
467	1842	2094
468	1845	2089
469	1849	2085
470	1852	2080
471	1855	2075
472	1859	2071
473	1862	2066
474	1865	2062
475	1869	2057
476	1872	2053
477	1876	2048
478	1879	2044
479	1882	2039
480	1886	2035
481	1889	2030
482	1892	2026
483	1896	2021
484	1899	2017
485	1902	2012
486	1906	2008
487	1909	2003
488	1913	1999
489	1916	1994
490	1919	1990
491	1923	1985
492	1926	1981
493	1930	1977
494	1933	1972
495	1937	1968
496	1940	1963
497	1943	1959
498	1947	1955
499	1950	1950
500	1953	1946
501	1957	1941
502	1960	1937
503	1963	1932
504	1967	1928
505	1970	1923
506	1974	1919
507	1977	1915
508	1980	1910
509	1984	1906
510	1988	1902
511	1991	1898
512	1995	1894
513	1998	1889
514	2002	1885
515	2005	1881
516	2009	1877
517	2012	1872
518	2015	1868
519	2019	1863
520	2022	1859
521	2026	1855
522	2029	1851
523	2032	1846
524	2036	1842
525	2039	1838
526	2043	1833
527	2046	1829
528	2049	1825
529	2053	1820
530	2056	1816
531	2060	1812
532	2063	1808
533	2067	1803
534	2070	1799
535	2073	1795
536	2077	1790
537	2080	1786
538	2083	1782
539	2087	1778
540	2090	1773
541	2094	1769
542	2097	1765
543	2101	1761
544	2104	1756
545	2107	1752
546	2111	1748
547	2114	1744
548	2118	1740
549	2122	1736
550	2125	1732
551	2129	1728
552	2133	1724
553	2137	1720
554	2141	1716
555	2144	1712
556	2148	1708
557	2151	1704
558	2155	1700
559	2158	1696
560	2162	1692
561	2165	1687
562	2168	1683
563	2172	1679
564	2175	1675
565	2180	1672
566	2184	1668
567	2188	1664
568	2192	1660
569	2196	1656
570	2200	1652
571	2204	1649
572	2207	1645
573	2211	1641
574	2220	1640
575	2223	1636
576	2227	1632
577	2230	1628
578	2233	1624
579	2237	1620
580	2240	1616
581	2244	1611
582	2247	1607
583	2251	1603
584	2254	1599
585	2258	1595
586	2261	1591
587	2265	1587
588	2268	1582
589	2271	1578
590	2275	1574
591	2278	1570
592	2282	1566
593	2285	1562
594	2288	1557
595	2292	1553
596	2295	1549
597	2299	1545
598	2302	1541
599	2306	1537
600	2309	1533
601	2313	1529
602	2316	1525
603	2319	1520
604	2323	1516
605	2326	1512
606	2329	1508
607	2333	1504
608	2336	1500
609	2340	1496
610	2343	1492
611	2347	1488
612	2350	1483
613	2353	1479
614	2357	1475
615	2360	1471
616	2364	1467
617	2367	1463
618	2371	1459
619	2374	1455
620	2377	1451
621	2381	1447
622	2384	1442
623	2388	1438
624	2391	1434
625	2394	1430
626	2398	1426
627	2401	1422
628	2404	1418
629	2408	1414
630	2411	1410
631	2414	1406
632	2418	1401
633	2421	1397
634	2424	1393
635	2428	1389
636	2431	1385
637	2434	1381
638	2438	1377
639	2441	1373
640	2445	1369
641	2448	1365
642	2451	1361
643	2455	1357
644	2458	1353
645	2461	1349
646	2465	1345
647	2468	1341
648	2472	1336
649	2475	1332
650	2478	1328
651	2482	1324
652	2485	1321
653	2489	1317
654	2492	1313
655	2496	1309
656	2499	1305
657	2503	1301
658	2506	1297
659	2510	1293
660	2513	1289
661	2516	1285
662	2520	1281
663	2523	1277
664	2526	1272
665	2530	1268
666	2533	1264
667	2537	1260
668	2540	1256
669	2543	1252
670	2547	1248
671	2550	1244
672	2553	1240
673	2557	1236
674	2560	1232
675	2564	1228
676	2567	1224
677	2570	1220
678	2574	1216
679	2577	1212
680	2580	1208
681	2584	1204
682	2587	1200
683	2590	1196
684	2594	1192
685	2597	1188
686	2600	1184
687	2604	1180
688	2607	1176
689	2610	1172
690	2613	1168
691	2617	1164
692	2620	1160
693	2623	1156
694	2627	1152
695	2630	1148
696	2633	1144
697	2637	1141
698	2640	1137
699	2643	1133
700	2647	1129
701	2650	1125
